class,cliff,zov,objA,objB,scene
同物過切,5.308907124972118,1.0,scissors,scissors,n4_scene0037
同物過切,5.905102654107047,1.0,scissors,scissors,n4_scene0037
並排有縫,32.55425776705967,0.6666666666666666,mini_soccer_ball,banana,n4_scene0038
並排有縫,81.62432744870807,1.0,cups,wood_block,n4_scene0039
同物過切,6.122399784965538,1.0,power_drill,power_drill,n4_scene0040
同物過切,22.531614038724832,1.0,power_drill,power_drill,n4_scene0040
同物過切,27.182775743077805,1.0,power_drill,power_drill,n4_scene0040
並排有縫,111.1296731550127,1.0,cups,power_drill,n4_scene0040
並排有縫,109.19104530332231,1.0,cups,power_drill,n4_scene0040
同物過切,17.28209672913286,1.0,power_drill,power_drill,n4_scene0040
同物過切,17.28209672913286,1.0,power_drill,power_drill,n4_scene0040
同物過切,9.991997592866507,1.0,power_drill,power_drill,n4_scene0040
同物過切,7.072679973522289,0.2,tomato_soup_can,tomato_soup_can,n4_scene0041
並排有縫,148.84624467291152,0.9333333333333333,orange,potted_meat_can,n4_scene0043
同物過切,8.179519437524,0.3333333333333333,potted_meat_can,potted_meat_can,n4_scene0043
同物過切,15.490859398079593,0.2857142857142857,sugar_box,sugar_box,n4_scene0043
同物過切,6.037285158734806,0.3333333333333333,potted_meat_can,potted_meat_can,n4_scene0043
同物過切,5.983548286458973,1.0,orange,orange,n4_scene0043
並排有縫,172.21539321904544,0.5714285714285714,mug,padlock,n4_scene0044
同物過切,12.576815897547089,1.0,mug,mug,n4_scene0044
同物過切,7.8001174327784195,0.8214285714285714,cracker_box,cracker_box,n4_scene0046
同物過切,8.753173166023753,0.14285714285714285,nine_hole_peg_test,nine_hole_peg_test,n4_scene0046
同物過切,8.753173166023753,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0046
同物過切,35.246934501145134,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0046
並排有縫,12.164145299249585,0.2,cracker_box,cups,n4_scene0046
並排有縫,12.164145299249585,1.0,cracker_box,cups,n4_scene0046
並排有縫,11.663633847954912,0.85,cups,cracker_box,n4_scene0046
同物過切,4.668027993095736,0.9615384615384616,cracker_box,cracker_box,n4_scene0046
並排有縫,19.10961385861848,0.9714285714285714,mustard_bottle,cracker_box,n4_scene0046
並排有縫,129.78072171959388,0.0,mustard_bottle,cracker_box,n4_scene0046
並排有縫,130.74719660592518,0.0,mustard_bottle,cracker_box,n4_scene0046
並排有縫,9.99199759286662,0.8,cups,cracker_box,n4_scene0046
並排有縫,39.810821760651535,0.0,cups,cracker_box,n4_scene0046
同物過切,97.67844248724022,1.0,mustard_bottle,mustard_bottle,n4_scene0046
同物過切,15.04919363865509,0.625,cups,cups,n4_scene0048
並排有縫,101.89147726140129,1.0,cups,tuna_fish_can,n4_scene0049
同物過切,4.664773121745985,0.3333333333333333,tuna_fish_can,tuna_fish_can,n4_scene0049
同物過切,6.14279246439689,0.9230769230769231,cracker_box,cracker_box,n4_scene0049
並排有縫,204.73164812539878,0.0,cracker_box,tuna_fish_can,n4_scene0049
並排有縫,212.23304660446644,0.0,cracker_box,tuna_fish_can,n4_scene0049
並排有縫,204.73164812539878,1.0,cracker_box,tuna_fish_can,n4_scene0049
並排有縫,212.23304660446644,1.0,cracker_box,tuna_fish_can,n4_scene0049
並排有縫,232.0297109339452,0.0,cups,cracker_box,n4_scene0049
同物過切,5.50513622068538,0.8571428571428571,racquetball,racquetball,n4_scene0051
並排有縫,122.50999999111367,1.0,cups,bowl,n4_scene0051
同物過切,4.920925896860773,0.5,knife,knife,n4_scene0052
同物過切,18.65954700018496,1.0,pitcher_base,pitcher_base,n4_scene0052
同物過切,25.563251605380092,1.0,power_drill,power_drill,n4_scene0053
